"Source:","C:\Users\danie\Documents\Projekte\KT88-Amp\boards\Netzteil\12V_6V3_Delay\12V_6V3_Delay.sch"
"Date:","22.04.2021 21:02:30"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","110"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","4700µF / 63V","CP","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","Polarized capacitor",""
"C2, C6, C25, C26, ","4","100nF / 63V","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor",""
"C3, ","1","100nF / 16V","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor",""
"C4, C23, C24, ","3","100nF","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor",""
"C5, ","1","47µF / 16V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"C7, C8, C9, C10, C11, C12, C13, C14, ","8","22nF","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor",""
"C15, ","1","33000µF/16V","CP","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","Polarized capacitor",""
"C16, ","1","680µF/16V","CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor",""
"C17, C18, C21, C22, ","4","1nF","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor",""
"C19, C20, ","2","680µF","CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor",""
"C27, ","1","1µF / 16V","C","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","Unpolarized capacitor",""
"C29, ","1","56µF / 16V","CP","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C30, ","1","220µF / 16V","CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor",""
"D1, D9, D10, D11, ","4","SB350","D_Schottky","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","Schottky diode",""
"D2, ","1","1N4001","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","Diode",""
"D3, ","1","SB190","SB160","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","60V 1A Schottky Barrier Rectifier Diode, DO-41",""
"D4, ","1","SB350","SB160","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","60V 1A Schottky Barrier Rectifier Diode, DO-41",""
"D5, D6, D7, D8, ","4","MBR1645","D_Schottky","Package_TO_SOT_THT:TO-220-2_Vertical","Schottky diode",""
"D12, D14, D20, D21, ","4","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D13, ","1","LM385Z-1.2","ZENER-RESCUE-6V3_Heizung","Package_TO_SOT_THT:TO-92-2","",""
"D15, ","1","ZD3V9","D_Zener","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","Zener diode",""
"D16, D17, ","2","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"D18, D19, D22, ","3","ZD5V6","D_Zener","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","Zener diode",""
"F1, ","1","1A Slow","F_Small-12V_Supply_V2-rescue","w_misc_comp:fuse_holder_CQ-2","",""
"F2, ","1","Fuse","Fuse","w_misc_comp:fuse_holder_CQ-2","Fuse",""
"J1, ","1","OP_LED","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P1, ","1","12V5_AC","CONN_2-12V_Supply_V2-rescue","Connector_TE-Connectivity:TE_MATE-N-LOK_1-770866-x_1x02_P4.14mm_Vertical","",""
"P2, ","1","12V_DC_1","CONN_2-12V_Supply_V2-rescue","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"P3, ","1","12V_DC_2","CONN_2-12V_Supply_V2-rescue","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"P4, ","1","7V5_AC","CONN_2-borniers","Connector_TE-Connectivity:TE_MATE-N-LOK_1-770866-x_1x02_P4.14mm_Vertical","",""
"P5, ","1","12V_DC_3","CONN_2-12V_Supply_V2-rescue","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"P6, P8, ","2","12V_DC_4","CONN_2-12V_Supply_V2-rescue","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"P9, ","1","6V3_DC_2","CONN_2-borniers","Connector_TE-Connectivity:TE_MATE-N-LOK_1-770866-x_1x02_P4.14mm_Vertical","",""
"P10, ","1","6V3_DC_1","CONN_2-borniers","Connector_TE-Connectivity:TE_MATE-N-LOK_1-770866-x_1x02_P4.14mm_Vertical","",""
"P11, P12, P13, ","3","Relais","CONN_2-12V_Supply_V2-rescue","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"Q1, Q2, ","2","IRF530","IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","33A Id, 100V Vds, HEXFET N-Channel MOSFET, TO-220",""
"Q3, Q4, Q5, ","3","BS170","BS170","Package_TO_SOT_THT:TO-92_Inline","0.5A Id, 60V Vds, N-Channel MOSFET, TO-92",""
"R1, ","1","22k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, R31, R34, ","3","560R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, R4, ","2","100R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, R6, R8, R10, ","4","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R7, R9, ","2","4k12","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R11, ","1","270R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R12, ","1","4K7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R13, ","1","82K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R14, ","1","100K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R15, R17, R18, R19, R20, R23, R24, R27, R28, R29, R30, R33, ","12","10K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R16, ","1","1M","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R21, ","1","470K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R22, ","1","620K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R25, R26, ","2","5M1","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R32, ","1","560","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R35, ","1","680R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"U1, ","1","LMC6484","LMC6484","Package_DIP:DIP-14_W7.62mm","Quad CMOS Rail-to-Rail Input and Output Operational Amplifier, DIP-14/SOIC-14",""
"U2, ","1","LM7812CT","LM7812CT-12V_Supply_V2-rescue","Package_TO_SOT_THT:TO-220-3_Vertical","",""
"U3, U4, ","2","LM393","LM393","Package_DIP:DIP-8_W7.62mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8",""
